"CODE_GESIS","NOM_DANS_GESIS","UID_DHIS2","NOM_DANS_DHIS2","DISTRICT","REGION",,,
210441014,"CSB2 Anjiabe","gaP3xP1t9Lc","CSB2 Anjiabe","Ambilobe","DIANA",,,
210441005,"CSB2 Antanabe","DLqu0Edypfp","CSB2 Antanabe","Ambilobe","DIANA",,,
210441015,"CSB2 Antsaravibe","f5Imavc3gzA","CSB2 Antsaravibe","Ambilobe","DIANA",,,
210441018,"CSB2 Antsohimbondrona","kxbUojxj8jj","CSB2 Antsohimbondrona","Ambilobe","DIANA",,,
210441022,"CSB2 Beramanja","odLQhWo6J4l","CSB2 Beramanja","Ambilobe","DIANA",,,
210441025,"CSB2 Betsiaka","PY0Gy9snbXK","CSB2 Betsiaka","Ambilobe","DIANA",,,
210442003,"CSB2 Lutherien","SsuMq0F0npO","HP_Hopitaly loterana SALFA Ambilobe","Ambilobe","DIANA",,,
210441029,"CSB2 Manambato","Ia1xr8ql45r","CSB2 Manambato","Ambilobe","DIANA",,,
210441031,"CSB2 Mantaly","UzQWwEu9o0n","CSB2 Mantaly","Ambilobe","DIANA",,,
210443002,"CSB2 Mirasoa","Po6WJrofXe5","CSB2 Mirasoa","Ambilobe","DIANA",,,
210441032,"CSB2 Tanambao Marivorahona","nHNQZkG07yg","CSB2 Tanambao Marivorahona","Ambilobe","DIANA",,,
210141001,"CSB2 Tanambao","aGTd5fx9Ce3","CSB2 Tanambao","Antsiranana I","DIANA",,,
210151010,"CSB1 Anamakia","yaDA7hf1abG","CSB1 Anamakia","Antsiranana I","DIANA",,,
210151011,"CSB1 Cap Diego","H96OCfH8E2i","CSB1 Cap Diego","Antsiranana I","DIANA",,,
210152012,"CSB1 Infirmerie de Garnison","wBSNJqAFIBn","CSB2 Infirmerie de Garnison","Antsiranana I","DIANA",,,
210143009,"CSB2 Espace Medical","zEo889XqnuW","CSB2 Espace Medical","Antsiranana I","DIANA",,,
210142007,"CSB2 FJKM","RsKKEwSaUKb","CSB2 FJKM","Antsiranana I","DIANA",,,
210143003,"CSB2 Jirama","AqaR1hHbKWm","CSB2 Jirama","Antsiranana I","DIANA",,,
210143006,"CSB2 Marie Stopes","vjZ9aD0R4YS","CSB2 Marie Stopes","Antsiranana I","DIANA",,,
210141015,"CSB2 Medecine Préventive","Svg7pLyErJH","CSB2 Medecine Pr�ventive","Antsiranana I","DIANA",,,
210142008,"CSB2 SALFA","parzyAE8QdG","FSP_SALFA","Antsiranana I","DIANA",,,
210143002,"CSB2 Secren","w1h1QCgZxAh","CSB2 Secren","Antsiranana I","DIANA",,,
210143004,"CSB2 SMIDS","a0w8mCEFp8C","CSB2 SMIDS","Antsiranana I","DIANA",,,
210241001,"CSB2 Ambondrona","r9i6rl8Q4sd","CSB2 Ambondrona","Antsiranana II","DIANA",,,
210241032,"Antanamitarana","TM3tygMoo5O","CSB2 Antanamitarana","Antsiranana II","DIANA",,,
210251009,"CSB1 Ambery","AsaUTiaJPZx","CSB1 Ambery","Antsiranana II","DIANA",,,
210251021,"CSB1 Ambohibory","qvMVcvxSTTB","CSB1 Ambohibory","Antsiranana II","DIANA",,,
210251008,"CSB1 Ampasimbengy","sqYqqHYH6YE","CSB1 Ampasimbengy","Antsiranana II","DIANA",,,
210251006,"CSB1 Anjiabe Bobaomby","kKahaz2S44T","CSB1 Anjiabe Bobaomby","Antsiranana II","DIANA",,,
210251020,"CSB1 Ankorefo","MrABDSyBJVd","CSB1 Ankorefo","Antsiranana II","DIANA",,,
210251030,"CSB1 Antanimbaribe","Yw0OMGxtl0i","CSB1 Antanimbaribe","Antsiranana II","DIANA",,,
210251031,"CSB1 Antongombato","ntzDUxJJjH5","CSB1 Antongombato","Antsiranana II","DIANA",,,
210251028,"CSB1 Antsakoabe","LgDMI5pB2iV","CSB2 Antsakoabe","Antsiranana II","DIANA",,,
210252022,"CSB1 Mananara","SoDpfpVE8nE","CSB1 Mananara","Antsiranana II","DIANA",,,
210251024,"CSB1 Morarano","avfT0N2l7uV","CSB1 Morarano","Antsiranana II","DIANA",,,
210241012,"CSB2  Antsahampano","YV0q62XBjNy","CSB2 Antsahampano","Antsiranana II","DIANA",,,
210241004,"CSB2 Andranofanjava","IxSpatnM85A","CSB2 Andranofanjava","Antsiranana II","DIANA",,,
210241005,"CSB2 Andranovondronina","qJo9fG9KHvs","CSB2 Andranovondronina","Antsiranana II","DIANA",,,
210241007,"CSB2 Anivorano Nord","Xf4IU7nBcUB","CSB2 Anivorano Nord","Antsiranana II","DIANA",,,
210241010,"CSB2 Ankarongana","Z0mzcQCqySd","CSB2 Ankarongana","Antsiranana II","DIANA",,,
210241011,"CSB2 Anketrakabe","J7WjLXsPDTQ","CSB2 Anketrakabe","Antsiranana II","DIANA",,,
210241028,"CSB2 Antsakoabe","LgDMI5pB2iV","CSB2 Antsakoabe","Antsiranana II","DIANA",,,
210241013,"CSB2 Antsalaka","zxQu4lRMMP9","CSB2 Antsalaka","Antsiranana II","DIANA",,,
210241002,"CSB2 Berafia","OipqO3giE7E","CSB2 Berafia","Antsiranana II","DIANA",,,
