cAnnee,cCodeNiv,cCodeStru,cPeriode,cTypeRapport,c0015a_NC,c0015a_CONS,c0015a_EXTRACT,c0015a_SOB,c0015a_AUTSOINS,c0015a_RADIO,c1599a_NC,c1599a_CONS,c1599a_EXTRACT,c1599a_SOB,c1599a_AUTSOINS,c1599a_RADIO
2015,110307,110343027,9,21,,,,,,,,,,,,
2015,110307,110343027,10,21,17,26,13,4,,,,,,,,
2015,110307,110343027,11,21,4,4,4,,,,17,19,11,4,2,
2015,110307,110343027,12,21,10,10,6,4,,,31,34,8,13,10,
2015,110307,110343059,4,21,,,,,,,,,,,,
2015,110307,110343059,5,21,,,,,,,,,,,,
2015,110307,110343059,6,21,,,,,,,,,,,,
2015,110307,110343059,8,21,,,,,,,,,,,,
2015,110307,110343059,9,21,,,,,,,,,,,,
2015,110307,110343059,11,21,,,,,,,,,,,,
2015,110307,110343059,12,21,,,,,,,,,,,,
2015,110307,110343063,5,21,,,,,,,,,,,,
2015,110307,110343063,6,21,,,,,,,,,,,,
2015,110307,110343063,7,21,,,,,,,,,,,,
2015,110307,110343063,9,21,,,,,,,,,,,,
2015,110307,110343063,10,21,,,,,,,,,,,,
2015,110307,110343063,11,21,,,,,,,,,,,,
2015,110307,110343063,12,21,,,,,,,,,,,,
2015,110310,110343036,4,21,,,,,,,,,4,,,
2015,110310,110343036,5,21,3,6,3,,,,,,,,,
2015,110310,110343036,6,21,,,,,,,6,8,6,,,
2015,110310,110343036,7,21,,,,,,,1,3,,,,
2015,110310,110343036,8,21,,,,,,,2,6,4,,,
2015,110310,110343036,9,21,,,,,,,2,5,2,,,
2015,110310,110343036,10,21,,,,,,,2,,2,,,
2015,110310,110343036,11,21,2,2,2,,,,,,,,,
2015,110310,110343036,12,21,,,,,,,,,,,,
2015,110311,110343039,5,21,,,,,,,,,,,,
2015,110311,110343039,6,21,,,,,,,,,,,,
2015,110312,110342042,5,21,,,,,,,,,,,,
2015,110312,110342042,6,21,,,,,,,,,,,,
2015,110312,110342042,7,21,,,,,,,,,,,,
2015,110312,110342042,8,21,,,,,,,,,,,,
2015,110312,110342042,10,21,,,,,,,,,,,,
2015,110312,110342042,12,21,,,,,,,,,,,,
2015,110312,110342048,5,21,,,,,,,,,,,,
2015,110312,110342048,6,21,,,,,,,,,,,,
2015,110312,110342048,7,21,,,,,,,,,,,,
2015,110312,110342048,8,21,,,,,,,,,,,,
2015,110312,110342048,9,21,,,,,,,,,,,,
2015,110312,110342048,10,21,,,,,,,,,,,,
2015,110312,110342048,11,21,,,,,,,,,,,,
2015,110312,110342048,12,21,,,,,,,,,,,,
2015,110312,110342049,4,21,,,,,,,,,,,,
2015,110312,110342049,5,21,,,,,,,,,,,,
2015,110312,110342049,6,21,,,,,,,,,,,,
2015,110312,110342049,7,21,,,,,,,,,,,,
2015,110312,110342049,8,21,,,,,,,,,,,,
2015,110312,110342049,9,21,,,,,,,,,,,,
2015,110312,110342049,11,21,,,,,,,,,,,,
2015,110312,110342049,12,21,,,,,,,,,,,,
2015,110312,110342057,6,21,,,,,,,,,,,,
2015,110312,110342057,11,21,,,,,,,,,,,,
2015,110312,110343044,6,21,20,20,10,10,,,142,142,116,216,10,
2015,110312,110343044,7,21,20,20,11,9,,,130,130,100,20,10,
2015,110312,110343044,10,21,,,,,,,,,,,,
2015,110312,110343044,11,21,,,,,,,,,,,,
2015,110312,110343061,6,21,,,,,,,,,,,,
2015,110312,110343061,7,21,,,,,,,,,,,,
2015,110312,110343061,8,21,,,,,,,,,,,,
2015,110312,110343061,10,21,,,,,,,,,,,,
2015,110312,110343061,11,21,,,,,,,,,,,,
2015,110312,110343061,12,21,,,,,,,,,,,,
2015,110313,110342020,4,21,,,,,,,,,,,,
2015,110313,110342020,5,21,,,,,,,,,,,,
2015,110313,110342020,6,21,,,,,,,,,,,,
2015,110313,110342020,7,21,,,,,,,,,,,,
2015,110505,110551029,4,21,,,,,,,,,,,,
2015,110505,110551029,5,21,,,,,,,,,,,,
2015,110505,110551029,7,21,,,,,,,,,,,,
2015,110604,110642036,4,21,,,,,,,,,,,,
2015,110604,110642036,6,21,,,,,,,,,,,,
2015,110604,110642036,7,21,,,,,,,,,,,,
2015,110604,110642036,8,21,,,,,,,,,,,,
2015,110604,110642036,9,21,,,,,,,,,,,,
2015,110604,110642036,11,21,,,,,,,,,,,,
2015,120111,120143053,7,21,,,,,,,,,,,,
2015,120111,120143053,8,21,,,,,,,,,,,,
2015,120111,120143053,9,21,,,,,,,,,,,,
2015,120111,120143053,10,21,,,,,,,,,,,,
2015,120111,120143053,11,21,,,,,,,,,,,,
2015,120111,120143053,12,21,,,,,,,,,,,,
2015,120113,120141044,7,21,,,,,,,,,,,,
2015,120113,120141044,8,21,,,,,,,,,,,,
