cAnnee,cCodeNiv,cCodeStru,cPeriode,cTypeRapport,cEJVVM_0609a,cEJVVM_1014a,cEJVVM_1524a,cEJVVM_TOTAL,cEJPBSAN_0609a,cEJPBSAN_1014a,cEJPBSAN_1524a,cEJPBSAN_TOTAL,cTESTKIT_NECHEFF,cTESTKIT_NTPOS,cFER_F,cFER_G,cFAF_F,cFAF_G
2015,110310,110343036,11,21,,,,,,,,,,,,,,
2015,110312,110342042,10,21,,,,,,,,,,,,,,
2015,110312,110342048,05,21,,,,,,,,,,,,,,
2015,110312,110342048,07,21,,,,,,,,,,,,,,
2015,110312,110342048,10,21,,,,,,,,,,,,,,
2015,110312,110342048,11,21,,,,,,,,,,,,,,
2015,110312,110342048,12,21,,,,,,,,,,,,,,
2015,110312,110342049,12,21,,,,,,,,,,,,,,
2015,110312,110343044,06,21,,,,,,,,,,,,,,
2015,110312,110343044,07,21,,,,,,,,,,,,,,
2015,110312,110343044,10,21,,,,,,,,,,,,,,
2015,110312,110343061,10,21,,,,,,,,,,,,,,
2015,110312,110343061,11,21,,,,,,,,,,,,,,
2015,110312,110343061,12,21,,,,,,,,,,,,,,
2015,110505,110551029,04,21,,,,,,,,,,,,,,
2015,110505,110551029,05,21,,,,,,,,,,,,,,
2015,110505,110551029,07,21,,,,,,,,,,,,,,
2015,110604,110642036,04,21,,,,,,,,,,,,,,
2015,120111,120143053,07,21,,,,,,,,,,,,,,
2015,120111,120143053,11,21,,,,,,,,,,,,,,
2015,120113,120141044,07,21,,,,,,,,,,,,,,
2015,120113,120141044,08,21,,,,,,,,,,,,,,
2015,120113,120141044,09,21,,,,,,,,,,,,,,
2015,120113,120141044,10,21,,,,,,,,,,,,,,
2015,120113,120141044,11,21,,,,,,,,,,,,,,
2015,120113,120141044,12,21,,,,,,,,,,,,,,
2015,130305,130342008,08,21,,,,,,,,,,,,,,
2015,130305,130342008,10,21,,,,,,,,,5,5,,,,
2015,130305,130342008,11,21,,,,,,,,,5,5,,,,
2015,140101,140142019,04,21,,,,,,,,,,,,,,
2015,140101,140142019,05,21,,,,,,,,,,,,,,
2015,140101,140142019,06,21,,,,,,,,,,,,,,
2015,140101,140142019,07,21,,,,,,,,,,,,,,
2015,140101,140142019,08,21,,,,,,,,,,,,,,
2015,140101,140142019,09,21,,,,,,,,,,,,,,
2015,140101,140142019,10,21,,,,,,,,,,,,,,
2015,140101,140142019,11,21,,,,,,,,,,,,,,
2015,140101,140142019,12,21,,,,,,,,,,,,,,
2015,140101,140142028,04,21,,,,,,,,,,,,,,
2015,140101,140142028,05,21,,,,,,,,,,,,,,
2015,140101,140142028,06,21,,,,,,,,,,,,,,
2015,140101,140142028,07,21,,,,,,,,,,,,,,
2015,140101,140142028,08,21,,,,,,,,,,,,,,
2015,140101,140142028,09,21,,,,,,,,,,,,,,
2015,140101,140142028,10,21,,,,,,,,,,,,,,
2015,140101,140142028,11,21,,,,,,,,,,,,,,
2015,140101,140142028,12,21,,,,,,,,,,,,,,
2015,140101,140143007,04,21,,,,,,,,,,,,,,
2015,140101,140143007,05,21,,,,,,,,,,,,,,
2015,140101,140143007,06,21,,,,,,,,,,,,,,
2015,140101,140143007,07,21,,,,,,,,,,,,,,
2015,140101,140143007,08,21,,,,,,,,,,,,,,
2015,140101,140143007,09,21,,,,,,,,,,,,,,
2015,140101,140143007,10,21,,,,,,,,,,,,,,
2015,140101,140143007,11,21,,,,,,,,,,,,,,
2015,140101,140143007,12,21,,,,,,,,,,,,,,
2015,140101,140143010,04,21,,,,,,,,,,,,,,
2015,140101,140143010,05,21,,,,,,,,,,,,,,
2015,140101,140143010,06,21,,,,,,,,,,,,,,
2015,140101,140143010,07,21,,,,,,,,,,,,,,
2015,140101,140143010,08,21,,,,,,,,,,,,,,
2015,140101,140143010,09,21,,,,,,,,,,,,,,
2015,140101,140143010,10,21,,,,,,,,,,,,,,
2015,140101,140143010,11,21,,,,,,,,,,,,,,
2015,140101,140143010,12,21,,,,,,,,,,,,,,
2015,140101,140143013,04,21,,,,,,,,,,,,,,
2015,140101,140143013,08,21,,,,,,,,,,,,,,
2015,140101,140143013,09,21,,,,,,,,,,,,,,
2015,140101,140143013,10,21,,,,,,,,,,,,,,
2015,140101,140143013,11,21,,,,,,,,,,,,,,
2015,140101,140143013,12,21,,,,,,,,,,,,,,
2015,140101,140143014,04,21,,,,,,,,,,,,,,
2015,140101,140143014,05,21,,,,,,,,,,,,,,
2015,140101,140143014,06,21,,,,,,,,,,,,,,
2015,140101,140143014,07,21,,,,,,,,,,,,,,
2015,140101,140143014,08,21,,,,,,,,,,,,,,
2015,140101,140143014,09,21,,,,,,,,,,,,,,
2015,140101,140143014,10,21,,,,,,,,,,,,,,
2015,140101,140143014,11,21,,,,,,,,,,,,,,
2015,140101,140143014,12,21,,,,,,,,,,,,,,
2015,140101,140143029,04,21,,,,,,,,,,,,,,
2015,140101,140143029,05,21,,,,,,,,,,,,,,
2015,140101,140143029,06,21,,,,,,,,,,,,,,
2015,140101,140143029,07,21,,,,,,,,,,,,,,
2015,140101,140143029,08,21,,,,,,,,,,,,,,
2015,140101,140143029,09,21,,,,,,,,,,,,,,
