cAnnee,cCodeNiv,cCodeStru,cPeriode,cTypeRapport,cIST_CLIDEP_INF15a,cIST_CLIDEP_1524a,cIST_CLIDEP_2549a,cIST_CLIDEP_5099a,cIST_CLIDEP_Total,cIST_CLIDEP_SEX_M,cIST_CLIDEP_SEX_F,cIST_CLIDEP_GAR_TDS,cIST_CLIDEP_GAR_PIST,cIST_CLIDEP_GAR_MSM,cIST_CLIDEP_GAR_TDI,cIST_CLIDEP_GAR_DET,cIST_CLIDEP_GAR_AUT,cIST_CLIDEP_TUB,cIST_CLIDEP_FE,cIST_CLIDEP_AUTRES,cIST_CLIRES_INF15a,cIST_CLIRES_1524a,cIST_CLIRES_2549a,cIST_CLIRES_5099a,cIST_CLIRES_Total,cIST_CLIRES_SEX_M,cIST_CLIRES_SEX_F,cIST_CLIRES_GAR_TDS,cIST_CLIRES_GAR_PIST,cIST_CLIRES_GAR_MSM,cIST_CLIRES_GAR_TDI,cIST_CLIRES_GAR_DET,cIST_CLIRES_GAR_AUT,cIST_CLIRES_TUB,cIST_CLIRES_FE,cIST_CLIRES_AUTRES,cIST_CLIPOS_INF15a,cIST_CLIPOS_1524a,cIST_CLIPOS_2549a,cIST_CLIPOS_5099a,cIST_CLIPOS_Total,cIST_CLIPOS_SEX_M,cIST_CLIPOS_SEX_F,cIST_CLIPOS_GAR_TDS,cIST_CLIPOS_GAR_PIST,cIST_CLIPOS_GAR_MSM,cIST_CLIPOS_GAR_TDI,cIST_CLIPOS_GAR_DET,cIST_CLIPOS_GAR_AUT,cIST_CLIPOS_TUB,cIST_CLIPOS_FE,cIST_CLIPOS_AUTRES,cNC_EG,cDEPSYP_EG,cSYPPOS_EG
2015,110103,110142066,12,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
2015,110105,110142111,04,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,
2015,110105,110142111,05,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,4,
2015,110105,110142111,06,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,
2015,110105,110142111,07,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,
2015,110105,110142111,08,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,
2015,110105,110142111,09,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,
2015,110105,110142111,10,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,
2015,110105,110142111,11,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,
2015,110105,110142111,12,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,
2015,110218,110243042,06,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110218,110243042,07,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110218,110243042,08,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110218,110243042,09,21,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110218,110243042,10,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110218,110243042,11,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110218,110243042,12,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110218,110243068,06,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,
2015,110218,110243068,07,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110218,110243068,08,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110218,110243068,09,21,,6,,,6,,6,,,,,,,,6,,,6,,,6,,6,,,,,,,,6,,,0,,,0,,0,,,,,,,,0,,6,5,
2015,110218,110243068,10,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,10,
