cAnnee,cCodeNiv,cCodeStru,cPeriode,cTypeRapport,cPRESM_SDM,cPRESM_QRDM,cPRESM_QU,cPRESM_QP,cPRESM_QRFM,cPRESM_NJRS,cPRESF_SDM,cPRESF_QRDM,cPRESF_QU,cPRESF_QP,cPRESF_QRFM,cPRESF_NJRS,cBP_SDM,cBP_QRDM,cBP_QU,cBP_QP,cBP_QRFM,cBP_NJRS,cEPPI10ml_SDM,cEPPI10ml_QRDM,cEPPI10ml_QU,cEPPI10ml_QP,cEPPI10ml_QRFM,cEPPI10ml_NJRS,cSER10ml_SDM,cSER10ml_QRDM,cSER10ml_QU,cSER10ml_QP,cSER10ml_QRFM,cSER10ml_NJRS,cKITEG_SDM,cKITEG_QRDM,cKITEG_QU,cKITEG_QP,cKITEG_QRFM,cKITEG_NJRS,cKITUG_SDM,cKITUG_QRDM,cKITUG_QU,cKITUG_QP,cKITUG_QRFM,cKITUG_NJRS,cBIOL_SDM,cBIOL_QRDM,cBIOL_QU,cBIOL_QP,cBIOL_QRFM,cBIOL_NJRS,cRPR_CONS_SDM,cRPR_CONS_QRDM,cRPR_CONS_QU,cRPR_CONS_QP,cRPR_CONS_QRFM,cRPR_CONS_NJRS,cTEST1_VIH_SDM,cTEST1_VIH_QRDM,cTEST1_VIH_QU,cTEST1_VIH_QP,cTEST1_VIH_QRFM,cTEST1_VIH_NJRS,cTEST2_VIH_SDM,cTEST2_VIH_QRDM,cTEST2_VIH_QU,cTEST2_VIH_QP,cTEST2_VIH_QRFM,cTEST2_VIH_NJRS,cPLUM_NUT_SDM,cPLUM_NUT_QRDM,cPLUM_NUT_QU,cPLUM_NUT_QP,cPLUM_NUT_QRFM,cPLUM_NUT_NJRS,cAMOX_SDM,cAMOX_QRDM,cAMOX_QU,cAMOX_QP,cAMOX_QRFM,cAMOX_NJRS,cVITA_SDM,cVITA_QRDM,cVITA_QU,cVITA_QP,cVITA_QRFM,cVITA_NJRS,cALB_SDM,cALB_QRDM,cALB_QU,cALB_QP,cALB_QRFM,cALB_NJRS,cLOF_MI_SDM,cLOF_MI_QRDM,cLOF_MI_QU,cLOF_MI_QP,cLOF_MI_QRFM,cLOF_MI_NJRS,cOV_MIC_SDM,cOV_MIC_QRDM,cOV_MIC_QU,cOV_MIC_QP,cOV_MIC_QRFM,cOV_MIC_NJRS,cDEPO_SDM,cDEPO_QRDM,cDEPO_QU,cDEPO_QP,cDEPO_QRFM,cDEPO_NJRS,cMEG_SDM,cMEG_QRDM,cMEG_QU,cMEG_QP,cMEG_QRFM,cMEG_NJRS,cCONC_SDM,cCONC_QRDM,cCONC_QU,cCONC_QP,cCONC_QRFM,cCONC_NJRS,cDIU_SDM,cDIU_QRDM,cDIU_QU,cDIU_QP,cDIU_QRFM,cDIU_NJRS,cIPLN_SDM,cIPLN_QRDM,cIPLN_QU,cIPLN_QP,cIPLN_QRFM,cIPLN_NJRS,cCOXY_SDM,cCOXY_QRDM,cCOXY_QU,cCOXY_QP,cCOXY_QRFM,cCOXY_NJRS
2015,110101,110141002,09,21,27400,,17000,,10400,,50,,50,,,,,,,,,,,,,,,,,,,,,,6,,6,,,,,,,,,,23,150,67,,106,,,,,,,,188,,67,,121,,,,,,,,393,,,,393,,1,43,,,44,,,,,,,,,,,,,,586,186,187,,585,,106,78,27,,157,,360,200,123,,437,,,,,,,,,,,,,,13,,,,13,,35,40,17,,58,,,,,,,
2015,110101,110141002,10,21,10400,,10000,,400,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,30,,,,,,,106,,56,,50,,,,,,,,121,,56,,65,,,,,,,,393,,42,,351,,44,,8,,36,,,,,,,,,200,200,,,,585,,117,,468,,157,,39,,118,,437,,142,,295,,,,,,,,,,,,,,13,,3,,10,,58,,14,,44,,,,,,,
2015,110101,110141002,11,21,400,400,300,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,100,24,,76,,,,,,,,50,30,65,,15,,,,,,,,65,200,75,,190,,,20,,,20,,351,,90,,261,,36,,,,36,,,,,,,,,,,,,,468,198,138,,528,,118,39,33,,124,,295,200,137,,358,,,,,,,,,,,,,,10,,2,,8,,44,,27,,17,,,,,,,
2015,110101,110141002,12,21,500,,400,,100,,,,,,,,,,,,,30,,,,,,,,,,,,,76,,37,,39,,,,,,,,15,,15,,,10,,,,,,,190,,71,,119,,20,20,1,,39,,261,174,42,,393,,36,,8,,28,,,,,,,,,200,200,,,,528,,120,,408,,124,,43,,81,,358,,127,,231,,,,,,,,,,,,,,8,,,,8,,17,,9,,8,,,,,,,
2015,110101,110143033,07,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110101,110143033,08,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110103,110142066,04,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,12,,71,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110103,110142066,05,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,2,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110103,110142066,07,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,2,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110103,110142066,08,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,10,,62,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
