cAnnee,cCodeNiv,cCodeStru,cPeriode,cTypeRapport,cBCG_SDM,cBCG_QRDM,cBCG_QU,cBCG_QP,cBCG_QRFM,cBCG_NJRS,cVPO_SDM,cVPO_QRDM,cVPO_QU,cVPO_QP,cVPO_QRFM,cVPO_NJRS,cVPI_SDM,cVPI_QRDM,cVPI_QU,cVPI_QP,cVPI_QRFM,cVPI_NJRS,cDTCHBH_SDM,cDTCHBH_QRDM,cDTCHBH_QU,cDTCHBH_QP,cDTCHBH_QRFM,cDTCHBH_NJRS,cPCV10_SDM,cPCV10_QRDM,cPCV10_QU,cPCV10_QP,cPCV10_QRFM,cPCV10_NJRS,cROTA_SDM,cROTA_QRDM,cROTA_QU,cROTA_QP,cROTA_QRFM,cROTA_NJRS,cVAR_SDM,cVAR_QRDM,cVAR_QU,cVAR_QP,cVAR_QRFM,cVAR_NJRS,cVAT_SDM,cVAT_QRDM,cVAT_QU,cVAT_QP,cVAT_QRFM,cVAT_NJRS,cHPV_SDM,cHPV_QRDM,cHPV_QU,cHPV_QP,cHPV_QRFM,cHPV_NJRS,cSAB05ml_SDM,cSAB05ml_QRDM,cSAB05ml_QU,cSAB05ml_QP,cSAB05ml_QRFM,cSAB05ml_NJRS,cSAB005ml_SDM,cSAB005ml_QRDM,cSAB005ml_QU,cSAB005ml_QP,cSAB005ml_QRFM,cSAB005ml_NJRS,cSER2ml_SDM,cSER2ml_QRDM,cSER2ml_QU,cSER2ml_QP,cSER2ml_QRFM,cSER2ml_NJRS,cSER5ml_SDM,cSER5ml_QRDM,cSER5ml_QU,cSER5ml_QP,cSER5ml_QRFM,cSER5ml_NJRS,cBSECU_SDM,cBSECU_QRDM,cBSECU_QU,cBSECU_QP,cBSECU_QRFM,cBSECU_NJRS,cSOLVBCG_SDM,cSOLVBCG_QRDM,cSOLVBCG_QU,cSOLVBCG_QP,cSOLVBCG_QRFM,cSOLVBCG_NJRS,cSOLVAR_SDM,cSOLVAR_QRDM,cSOLVAR_QU,cSOLVAR_QP,cSOLVAR_QRFM,cSOLVAR_NJRS,cPETRO_SDM,cPETRO_QRDM,cPETRO_QU,cPETRO_QP,cPETRO_QRFM,cPETRO_NJRS,cSPFE_SDM,cSPFE_QRDM,cSPFE_QU,cSPFE_QP,cSPFE_QRFM,cSPFE_NJRS,cRDT_SDM,cRDT_QRDM,cRDT_QU,cRDT_QP,cRDT_QRFM,cRDT_NJRS,cACT021m_SDM,cACT021m_QRDM,cACT021m_QU,cACT021m_QP,cACT021m_QRFM,cACT021m_NJRS,cACT0105a_SDM,cACT0105a_QRDM,cACT0105a_QU,cACT0105a_QP,cACT0105a_QRFM,cACT0105a_NJRS,cACT0613a_SDM,cACT0613a_QRDM,cACT0613a_QU,cACT0613a_QP,cACT0613a_QRFM,cACT0613a_NJRS,cACT1499a_SDM,cACT1499a_QRDM,cACT1499a_QU,cACT1499a_QP,cACT1499a_QRFM,cACT1499a_NJRS,cMID_SDM,cMID_QRDM,cMID_QU,cMID_QP,cMID_QRFM,cMID_NJRS,cAUTPROPALU_SDM,cAUTPROPALU_QRDM,cAUTPROPALU_QU,cAUTPROPALU_QP,cAUTPROPALU_QRFM,cAUTPROPALU_NJRS
2015,110101,110141002,09,21,100,400,200,,300,,2880,,400,,2480,,210,45,135,,120,,220,500,380,,340,,208,500,382,,326,,167,350,248,3,266,,130,200,140,,190,,160,60,60,,160,,,,,,,,954,1105,1070,,989,,127,400,178,,349,,7,20,10,,17,,14,20,14,,20,,7,4,4,,7,,5,20,10,,15,,13,20,10,,23,,,,,,,,,,,,,,124,,36,,88,,2,,,,2,,1,,,,1,,1,,,,1,,1,,,,1,,,,,,,,,,,,,
2015,110101,110141002,10,21,300,140,220,,220,,2480,,500,,1980,,120,180,160,,140,,340,500,460,,380,,326,524,468,,382,,266,250,315,,201,,190,230,180,,240,,160,60,180,,40,,,,,,,,989,1630,1390,,1229,,349,140,144,2,343,,17,7,11,,13,,20,23,18,,25,,7,10,7,,10,,15,7,11,,11,,23,23,18,,28,,,,,,,,,,,,,,88,25,21,3,89,,2,,,,2,,1,1,,,2,,1,3,,,4,,1,,,,1,,,,,,,,,100,,,100,
2015,110101,110141002,11,21,220,120,80,,260,,1980,,400,,1580,,140,300,120,,320,,380,400,350,,430,,382,380,352,,410,,201,300,226,,275,,240,100,150,,190,,40,200,80,,160,,,,,,,,1229,1200,1017,,1412,,343,,61,,282,,13,6,4,,15,,25,10,15,,20,,10,5,6,,9,,11,6,4,,13,,28,10,15,,23,,,,,,,,,,,,,,89,,70,1,18,,2,,,,2,,2,,,,2,,4,,,1,3,,1,,,1,,,,,,,,,100,,1,,99,
2015,110101,110141002,12,21,260,40,100,,200,,1580,,480,,1100,,320,20,180,,160,,430,40,360,,110,,410,52,370,,92,,275,9,214,,70,,190,30,120,,100,,160,60,60,,160,,,,,,,,1412,163,1047,,528,,282,26,93,,215,,15,,5,,10,,20,2,12,,10,,9,1,4,,6,,13,2,5,,10,,23,,12,,11,,,12,12,,,,,,,,,,18,100,78,,40,,2,2,,2,2,,2,,,,2,,3,,,,3,,,2,,,2,,,,,,,,99,,,,99,
2015,110101,110143006,09,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110101,110143033,07,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110101,110143033,08,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110102,110143046,08,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,5,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110102,110143046,09,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,3,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110102,110143046,10,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,3,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
