cAnnee,cCodeNiv,cCodeStru,cPeriode,cTypeRapport,cEJVVM_0609a,cEJVVM_1014a,cEJVVM_1524a,cEJVVM_TOTAL,cEJPBSAN_0609a,cEJPBSAN_1014a,cEJPBSAN_1524a,cEJPBSAN_TOTAL,cTESTKIT_NECHEFF,cTESTKIT_NTPOS,cFER_F,cFER_G,cFAF_F,cFAF_G
2015,110203,110241005,4,21,,,,,,,,,,,,,,
2015,110203,110241005,5,21,0,,,,,,,,,,,,,
2015,110203,110241005,7,21,,,,,,,,,,,,,,
2015,110203,110241005,8,21,,,,,,,,,,,,,,
2015,110203,110241005,9,21,,,,,,,,,,,,,,
2015,110203,110241005,10,21,,,,,,,,,,,,,,
2015,110203,110241005,11,21,,,,,,,,,,,,,,
2015,110203,110241005,12,21,,,,,,,,,,,,,,
2015,110204,110241006,4,21,,10,71,81,,4,68,72,,,,,,
2015,110204,110241006,7,21,,,,,,,,,,,,,,
2015,110204,110241006,8,21,,,,,,,,,,,,,,
2015,110204,110241006,9,21,,,,,,,,,,,,,,
2015,110204,110241006,10,21,,,,,,,,,,,,,,
2015,110204,110241006,11,21,,,,,,,,,,,,,,
2015,110204,110241006,12,21,,,,,,,,,,,,,,
2015,110204,110253007,7,21,,,,,,,,,,,,,,
2015,110204,110253007,8,21,,,,,,,,,,,,,,
2015,110204,110253007,9,21,,,,,,,,,,,,,,
2015,110204,110253007,10,21,,,,,,,,,,,,,,
2015,110204,110253007,11,21,,,,,,,,,,,,,,
2015,110204,110253007,12,21,,,,,,,,,,,,,,
2015,110205,110241009,5,21,,,,,,,,,,,,,,
2015,110205,110241009,6,21,,,,,,,,,,,,,,
2015,110205,110241009,7,21,23,,,23,7,,,7,,,,,,
2015,110205,110241009,8,21,27,3,27,57,5,1,7,13,0,,,,,
2015,110205,110241009,9,21,189,57,16,262,25,8,3,36,,,,,,
2015,110205,110241009,10,21,70,17,9,96,18,6,2,26,,,,,,
2015,110205,110241009,11,21,6,70,141,217,2,30,131,163,,,,,,
2015,110205,110241009,12,21,1,62,111,174,1,32,56,89,,,,,,
2015,110207,110241010,4,21,,4,40,44,,1,9,10,,,,,,
2015,110207,110241010,5,21,28,42,,70,,20,,20,,,,,,
2015,110207,110241010,6,21,1,,,1,,,,,,,,,,
2015,110207,110241010,7,21,,,,,,,,,,,,,,
2015,110207,110241010,8,21,,,,,,,,,,,,,,
2015,110207,110241010,9,21,,,,,,,,,,,,,,
2015,110207,110241010,10,21,,11,10,21,,,,,,,,,,
2015,110207,110241010,11,21,,1,,1,,,,,,,,,,
2015,110207,110241010,12,21,,,,,,,,,,,,,,
