cAnnee,cCodeNiv,cCodeStru,cPeriode,cTypeRapport,cMEDIC_FAN_VFMP,cMEDIC_FAN_VECM,cMEDIC_FAN_DETTES,cMEDIC_FAN_VSCM,cMEDIC_FAN_CREREC,cMEDIC_FAN_VTFMC,cMEDIC_FAN_VPFMC,cMEDIC_FAN_ECART,cPHAGCO_FAN_SFMP,cPHAGCO_FAN_RCM,cPHAGCO_FAN_DETTE,cPHAGCO_FAN_DEP,cPHAGCO_FAN_AUTDCM,cPHAGCO_FAN_CREREC,cPHAGCO_FAN_RTFMC,cPHAGCO_FAN_SOLCA,cPHAGCO_FAN_SOLBA,cPHAGCO_FAN_ECART,cDEN_FAN_SFMP,cDEN_FAN_RCM,cDEN_FAN_DETTE,cDEN_FAN_DEP,cDEN_FAN_AUTDCM,cDEN_FAN_CREREC,cDEN_FAN_RTFMC,cDEN_FAN_SOLCA,cDEN_FAN_SOLBA,cDEN_FAN_ECART,cPHAGCO_FEQ_SFMP,cPHAGCO_FEQ_RCM,cPHAGCO_FEQ_SUBV,cPHAGCO_FEQ_DCM,cPHAGCO_FEQ_RTFMC,cPHAGCO_FEQ_SOLBA,cPHAGCO_FEQ_ECART,cDEN_FEQ_SFMP,cDEN_FEQ_RCM,cDEN_FEQ_SUBV,cDEN_FEQ_DCM,cDEN_FEQ_RTFMC,cDEN_FEQ_SOLBA,cDEN_FEQ_ECART
2015,110505,110551029,07,21,1494006,294911,,311761,,1477156,1464214,-12942,1390270,222084,,233745,24530,,1354079,1354079,0,0,,,,,,,,,,,20473,4935,,,25408,0,-25408,,,,,,,
2015,120113,120141044,07,21,557303,,,176510,,380793,,,9528300,118220,,,,,9646520,,,,,,,,,,,,,,596855,2627,,24000,575482,,,,,,,,,
2015,120113,120141044,08,21,380793,,,50795,,329998,329998,,9635893,25312,,,8562,,9652643,,,,,,,,,,,,,,600482,562,,,601044,,,,,,,,,
2015,120113,120141044,10,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,120113,120141044,12,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,130305,130342008,08,21,1072328,,,431579,,640749,663586,22837,9487268,431579,,,41169,,9877678,,9877678,0,,,,,,,,,,,2096090,9591,,,2105681,2105681,0,,,,,,,
2015,130305,130342008,10,21,3997623,,,794527,,3203096,3192066,-11030,7278768,794527,,,66154,,8007141,,8007141,0,,,,,,,,,,,2113111,17656,,,2130767,2130767,0,,,,,,,
2015,130305,130342008,11,21,3192066,,,882444,,2309622,2461925,152303,8007141,866895,,,52756,,8821280,,8821280,0,,,,,,,,,,,2130767,19264,,1360,2148671,2148671,0,,,,,,,
2015,140101,140142019,04,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140142019,05,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140142019,06,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140142019,07,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140142019,08,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140142019,09,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140142019,10,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140142019,11,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140142019,12,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140142028,04,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140142028,05,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140142028,06,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140142028,07,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140142028,08,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140142028,09,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140142028,10,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140142028,11,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140142028,12,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140143007,04,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140143007,05,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140143007,06,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140143007,07,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140143007,08,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140143007,09,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140143007,10,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140143007,11,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140143007,12,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140143010,04,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140143010,05,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140143010,06,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140143010,07,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140143010,08,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140143010,09,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140143010,10,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140143010,11,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140143010,12,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140143013,04,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140143013,08,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140143013,09,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140143013,10,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140143013,11,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140143013,12,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140143014,04,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140143014,05,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140143014,06,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140143014,07,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140143014,08,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140143014,09,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140143014,10,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140143014,11,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140143014,12,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140143029,04,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140143029,05,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140143029,06,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140143029,07,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140143029,08,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140143029,09,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140143029,10,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140143029,11,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140143029,12,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140143034,04,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140143034,05,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140143034,06,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140143034,07,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140143034,08,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140143034,09,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140143034,10,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140143034,11,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140143034,12,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140152026,04,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140152026,05,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140152026,06,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140152026,07,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140152026,08,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140152026,09,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140152026,10,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140152026,11,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140101,140152026,12,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140202,140243040,06,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140202,140243040,07,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140202,140243040,09,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140202,140243040,10,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140202,140243040,11,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140202,140243040,12,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140301,140342003,05,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140301,140342003,06,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140301,140342003,07,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140301,140342003,08,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140301,140342003,09,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140301,140342003,10,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140301,140342003,11,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140301,140342003,12,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140409,140442928,05,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140409,140442928,06,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140409,140442928,07,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140409,140442928,08,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140409,140442928,10,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140409,140442928,11,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140409,140442928,12,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,140413,140451310,05,21,2213042,,,144259,,2068783,2068783,0,325990,144259,,,3206,,467043,450163,16880,0,,,,,,,,,,,59938,3206,,5620,57524,2905,-54619,,,,,,,
2015,140413,140451310,06,21,2068783,374314,,172478,,2270619,2270619,0,467043,172478,,283935,80595,,274991,258111,16880,0,,,,,,,,,,,57524,3833,,6479,54878,2905,-51973,,,,,,,
2015,140413,140451310,07,21,2270619,9100,,158570,,2121149,2121149,0,274991,158570,,,13524,,420037,103157,316880,0,,,,,,,,,,,57783,3524,,6812,54495,2905,-51590,,,,,,,
2015,140413,140451310,08,21,2121149,,,186463,,1934686,1934686,0,420037,186463,,,14144,,592356,275476,316880,0,,,,,,,,,,,54495,4144,,13371,45268,2905,-42363,,,,,,,
2015,140413,140451310,09,21,1934686,477945,,228474,,2184157,2184157,0,592356,228474,,354033,30977,,435820,118940,316880,0,,,,,,,,,,,45268,5077,,17603,32742,2905,-29837,,,,,,,
2015,140413,140451310,10,21,2184157,284210,,199448,,2268919,2268919,0,435820,199448,,210525,4432,,420311,3431,416880,0,,,,,,,,,,,32742,4432,,6270,30904,2905,-27999,,,,,,,
2015,140413,140451310,11,21,2268919,,,173858,,2095061,2095061,0,420311,173858,,,3864,,590305,173425,416880,0,,,,,,,,,,,30904,3864,,1910,32858,2905,-29953,,,,,,,
2015,140413,140451310,12,21,2095061,271740,,127915,,2238886,2238886,0,590305,127915,,201288,32843,,484089,7209,476880,0,,,,,,,,,,,32858,2843,,,35701,2905,-32796,,,,,,,
2015,140414,140441401,05,21,633642,,,154736,,478906,478333,-573,425200,154736,,,13000,,566936,21600,765600,220264,,,,,,,,,,,19500,3205,,10508,12197,28000,15803,,,,,,,
2015,140414,140441401,06,21,478333,302245,,143318,,637260,637000,-260,765600,143318,,302245,31000,,575673,100000,460000,-15673,,,,,,,,,,,28000,3185,,,31185,22000,-9185,,,,,,,
2015,140414,140441401,07,21,637000,,,145063,,491937,493596,1659,460000,145063,,,9000,,596063,236063,460000,100000,,,,,,,,,,,22000,3224,,,25224,22000,-3224,,,,,,,
2015,140414,140441401,08,21,493596,,,96767,,396829,399338,2509,460000,96767,,,10000,,546767,322830,460000,236063,,,,,,,,,,,22000,2150,,,24150,22000,-2150,,,,,,,
2015,140414,140441401,09,21,399338,,,148275,,251063,249263,-1800,460000,148275,,,13000,,595275,390105,460000,254830,,,,,,,,,,,22000,3295,,,25295,22000,-3295,,,,,,,
2015,140414,140441401,10,21,249263,,,83495,,165768,162765,-3003,460000,83495,,,14000,,529495,,290900,-238595,,,,,,,,,,,22000,1855,,,23855,45230,21375,,,,,,,
2015,140414,140441401,11,21,162765,,,89408,,73357,73357,0,290900,89408,,,5000,,375308,10000,373300,7992,,,,,,,,,,,45230,1987,,,47217,47230,13,,,,,,,
2015,140414,140441401,12,21,73557,403231,,112873,,363915,369915,6000,373300,112873,,,12000,,474173,10000,471600,7427,,,,,,,,,,,47230,2508,,4260,45478,29730,-15748,,,,,,,
2015,210101,210142005,04,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,210101,210142005,05,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,210101,210143014,04,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,210101,210143014,05,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,210202,210251003,05,21,372845,0,0,39507,0,333338,333338,0,372845,39507,0,0,0,0,412352,,,,,,,,,,,,,,16906,1031,,,17937,,,,,,,,,
2015,210202,210251003,06,21,298072,455000,0,36827,0,716245,716245,0,,,,,,,,,,,,,,,,,,,,,17937,3130,0,0,21067,21067,0,,,,,,,
