cAnnee,cCodeNiv,cCodeStru,cPeriode,cTypeRapport,c0005m_ENFMES,c0005m_ENFPES,c0005m_ENFPESMES,c0005m_PA_INFM2ET,c0005m_PT_INFM3ET,c0005m_PT_SUP2ET,c0005m_TA_INFM2ET,c0005m_ADM,c0005m_GUERIS,c0005m_DCD,c0005m_ABD,c0005m_AUTSOR,c0611m_ENFMES,c0611m_ENFPES,c0611m_ENFPESMES,c0611m_PA_INFM2ET,c0611m_PT_INFM3ET,c0611m_PT_SUP2ET,c0611m_TA_INFM2ET,c0611m_ADM,c0611m_GUERIS,c0611m_DCD,c0611m_ABD,c0611m_AUTSOR,c1223m_ENFMES,c1223m_ENFPES,c1223m_ENFPESMES,c1223m_PA_INFM2ET,c1223m_PT_INFM3ET,c1223m_PT_SUP2ET,c1223m_TA_INFM2ET,c1223m_ADM,c1223m_GUERIS,c1223m_DCD,c1223m_ABD,c1223m_AUTSOR,c2459m_ENFMES,c2459m_ENFPES,c2459m_ENFPESMES,c2459m_PA_INFM2ET,c2459m_PT_INFM3ET,c2459m_PT_SUP2ET,c2459m_TA_INFM2ET,c2459m_ADM,c2459m_GUERIS,c2459m_DCD,c2459m_ABD,c2459m_AUTSOR,cSNETOT_ENFMES,cSNETOT_ENFPES,cTotal_ENFPESMES,cSNETOT_PA_INFM2ET,cSNETOT_PT_INFM3ET,cSNETOT_PT_SUP2ET,cSNETOT_TA_INFM2ET,cSNETOT_ADM,cSNETOT_GUERIS,cSNETOT_DCD,cSNETOT_ABD,cSNETOT_AUTSOR,c0005m_VITA,c0005m_ALB,c0611m_VITA,c0611m_ALB,c1259m_VITA,c1259m_ALB,cSSMETOT_VITA,cSSMETOT_ALB
2015,110101,110143033,11,21,,,4,,,,,,,,,,,,5,,,,,,,,,,,6,,,,,,,,,,,,24,,,,,,,,,,,,30,9,,,,,,,,,,,,,,,,,
2015,110101,110143033,12,21,,,1,,,,,,,,,,,,2,,,,,,,,,,,8,,,,,,,,,,,,22,,,,,,,,,,,,30,3,,,,,,,,,,,,,,,,,
2015,110103,110142066,07,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110105,110142111,04,21,,,31,,,,,,,,,,,,17,,,,,,,,,,,,8,,,,,,,,,,,,1,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,
2015,110105,110142111,05,21,,,27,,,,,,,,,,,,15,,,,,,,,,,,,7,,,,,,,,,,,,1,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,
2015,110105,110142111,06,21,,,28,,,,,,,,,,,,15,,,,,,,,,,,,4,,,,,,,,,,,,1,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,
2015,110105,110142111,07,21,,,35,,,,,,,,,,,,16,,,,,,,,,,,,12,,,,,,,,,,,,1,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,
2015,110105,110142111,08,21,,,40,,,,,,,,,,,,13,,,,,,,,,,,,10,,,,,,,,,,,,2,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,
2015,110105,110142111,09,21,,,49,,,,,,,,,,,,19,,,,,,,,,,,,10,,,,,,,,,,,,1,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,
2015,110105,110142111,10,21,,,43,,,,,,,,,,,,27,,,,,,,,,,,,5,,,,,,,,,,,,1,,,,,,,,,,,,76,,,,,,,,,,,,,,,,,
2015,110105,110142111,11,21,,,38,,,,,,,,,,,,22,,,,,,,,,,,,14,,,,,,,,,,,,1,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,
2015,110105,110142111,12,21,,,26,,,,,,,,,,,,22,,,,,,,,,,,,7,,,,,,,,,,,,1,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,
2015,110218,110243042,04,21,10,15,10,1,,,,,,,,,6,22,6,2,,1,,,,,,,2,2,2,1,,,,,,,,,3,11,3,2,,,,,,,,,21,50,21,6,,,,,,,,,,,6,,5,5,11,5
2015,110218,110243042,05,21,12,20,12,2,,,,2,,,,,9,16,9,,1,,,1,,,,,7,18,7,1,,,,1,,,,,4,7,4,,,,,0,,,,,32,61,32,3,1,,,4,,,,,,,187,,1699,1699,1886,1699
2015,110218,110243042,06,21,10,14,10,2,,1,,3,,,,,5,19,5,1,,,,1,,,,,3,11,3,,,,,,,,,,4,9,4,1,,,,1,,,,,22,53,22,4,,1,,5,,,,,,,5,,7,7,12,7
2015,110218,110243042,07,21,7,16,7,,,,,,,,,,10,13,10,1,,1,,1,,,,,5,15,5,2,,,,,,,,,7,19,7,,,,,,,,,,29,63,29,3,,1,,1,,,,,,,10,,12,12,22,12
