cAnnee,cCodeNiv,cCodeStru,uid_dhis2,cPeriode,cTypeRapport,cSRO_NJRS
2015,110204,110253007,VOBUkftSqIW,10,21,
2015,110204,110253007,VOBUkftSqIW,11,21,
2015,110204,110253007,VOBUkftSqIW,12,21,
2015,110205,110241009,MU2nrgmgBsC,04,21,
2015,110205,110241009,MU2nrgmgBsC,05,21,
2015,110205,110241009,MU2nrgmgBsC,06,21,
2015,110205,110241009,MU2nrgmgBsC,07,21,
2015,110205,110241009,MU2nrgmgBsC,08,21,
2015,110205,110241009,MU2nrgmgBsC,09,21,
2015,110205,110241009,MU2nrgmgBsC,10,21,
2015,110205,110241009,MU2nrgmgBsC,11,21,
2015,110205,110241009,MU2nrgmgBsC,12,21,
2015,110207,110241010,QZfyVtwqERX,04,21,0
2015,110207,110241010,QZfyVtwqERX,05,21,
2015,110207,110241010,QZfyVtwqERX,06,21,
2015,110207,110241010,QZfyVtwqERX,07,21,
2015,110207,110241010,QZfyVtwqERX,08,21,
2015,110207,110241010,QZfyVtwqERX,09,21,
2015,110207,110241010,QZfyVtwqERX,10,21,
2015,110207,110241010,QZfyVtwqERX,11,21,
2015,110207,110241010,QZfyVtwqERX,12,21,
2015,110207,110243069,agyAmc7SRLd,04,21,
2015,110208,110241011,jVEAQEnblvF,04,21,
2015,110208,110241011,jVEAQEnblvF,05,21,
2015,110208,110241011,jVEAQEnblvF,06,21,
2015,110208,110241011,jVEAQEnblvF,07,21,
2015,110208,110241011,jVEAQEnblvF,08,21,
2015,110208,110241011,jVEAQEnblvF,09,21,
2015,110208,110241011,jVEAQEnblvF,10,21,
2015,110208,110241011,jVEAQEnblvF,11,21,
2015,110208,110241011,jVEAQEnblvF,12,21,
2015,110209,110241012,WAtvX4DEqSl,04,21,
2015,110209,110241012,WAtvX4DEqSl,05,21,
2015,110209,110241012,WAtvX4DEqSl,06,21,
2015,110209,110241012,WAtvX4DEqSl,07,21,
2015,110209,110241012,WAtvX4DEqSl,08,21,
2015,110209,110241012,WAtvX4DEqSl,09,21,
2015,110209,110241012,WAtvX4DEqSl,10,21,
2015,110209,110241012,WAtvX4DEqSl,11,21,
2015,110209,110241012,WAtvX4DEqSl,12,21,
2015,110209,110243013,KpPZcCNyv4P,05,21,
2015,110209,110243013,KpPZcCNyv4P,12,21,
2015,110209,110243058,I9MjSRREo15,07,21,
2015,110209,110243058,I9MjSRREo15,08,21,
2015,110209,110243058,I9MjSRREo15,09,21,
2015,110209,110243058,I9MjSRREo15,10,21,
2015,110209,110243058,I9MjSRREo15,11,21,
2015,110209,110243058,I9MjSRREo15,12,21,
2015,110210,110241014,MK7yWTKKKGd,04,21,
2015,110210,110241014,MK7yWTKKKGd,05,21,
2015,110210,110241014,MK7yWTKKKGd,06,21,
2015,110210,110241014,MK7yWTKKKGd,07,21,
2015,110210,110241014,MK7yWTKKKGd,08,21,
2015,110210,110241014,MK7yWTKKKGd,09,21,
2015,110210,110241014,MK7yWTKKKGd,10,21,
2015,110210,110241014,MK7yWTKKKGd,11,21,
2015,110210,110241014,MK7yWTKKKGd,12,21,
2015,110210,110242015,qLjTkPw5jbq,05,21,
2015,110210,110242015,qLjTkPw5jbq,08,21,
2015,110210,110242015,qLjTkPw5jbq,09,21,
2015,110210,110242015,qLjTkPw5jbq,10,21,
2015,110210,110242015,qLjTkPw5jbq,11,21,
2015,110210,110242015,qLjTkPw5jbq,12,21,
2015,110211,110241016,SLa3WoPSf6z,04,21,
2015,110211,110241016,SLa3WoPSf6z,05,21,
2015,110211,110241016,SLa3WoPSf6z,06,21,
2015,110211,110241016,SLa3WoPSf6z,07,21,
2015,110211,110241016,SLa3WoPSf6z,08,21,
2015,110211,110241016,SLa3WoPSf6z,09,21,
2015,110211,110241016,SLa3WoPSf6z,10,21,
2015,110211,110241016,SLa3WoPSf6z,11,21,
2015,110211,110241016,SLa3WoPSf6z,12,21,
2015,110211,110242020,vrz5cxSKsAv,08,21,
2015,110211,110242020,vrz5cxSKsAv,09,21,
